Student_ID,Attendance_Score,Mid_Exam_Score,Lab_Exam_Score,Activity_Score,Final_Score,Gender,Total,Level
"S001,3,5,7,7,40,""Male"",62,""B"""
"S002,3,1,15,19,35,""Male"",73,""B"""
"S003,1,13,12,5,27,""Female"",58,""C"""
"S004,1,2,11,11,35,""Male"",60,""B"""
"S005,4,12,2,19,27,""Female"",64,""B"""
"S006,2,2,4,7,16,""Female"",31,""C"""
"S007,4,9,1,20,6,""Male"",40,""C"""
"S008,1,6,8,12,39,""Female"",66,""B"""
"S009,3,15,10,21,11,""Female"",60,""B"""
"S010,5,13,6,3,10,""Female"",37,""C"""
"S011,5,7,5,12,1,""Female"",30,""C"""
"S012,4,6,12,14,32,""Male"",68,""B"""
"S013,2,12,14,16,40,""Female"",84,""A"""
"S014,2,13,11,8,9,""Female"",43,""C"""
"S015,5,15,3,5,39,""Male"",67,""B"""
"S016,4,9,10,2,12,""Male"",37,""C"""
"S017,5,2,7,8,39,""Female"",61,""B"""
"S018,4,3,12,8,19,""Male"",46,""C"""
"S019,5,10,3,4,12,""Male"",34,""C"""
"S020,4,2,6,2,35,""Female"",49,""C"""
"S021,1,5,12,25,4,""Female"",47,""C"""
"S022,4,5,6,3,9,""Male"",27,""C"""
"S023,3,15,13,10,1,""Male"",42,""C"""
"S024,1,5,14,6,40,""Female"",66,""B"""
"S025,5,1,4,14,33,""Female"",57,""C"""
"S026,1,10,9,11,4,""Male"",35,""C"""
"S027,4,6,13,22,36,""Female"",81,""A"""
"S028,4,3,1,23,6,""Female"",37,""C"""
"S029,5,9,15,9,13,""Male"",51,""C"""
"S030,2,11,9,8,17,""Male"",47,""C"""
"S031,3,11,4,21,39,""Female"",78,""B"""
"S032,1,2,5,15,5,""Female"",28,""C"""
"S033,1,13,5,11,40,""Male"",70,""B"""
"S034,3,8,2,2,1,""Male"",16,""C"""
"S035,5,11,9,14,5,""Male"",44,""C"""
"S036,4,5,15,8,4,""Male"",36,""C"""
"S037,4,9,4,17,10,""Male"",44,""C"""
"S038,1,7,13,14,37,""Male"",72,""B"""
"S039,3,5,15,19,23,""Female"",65,""B"""
"S040,1,8,11,19,16,""Male"",55,""C"""
"S041,4,11,4,21,35,""Female"",75,""B"""
"S042,5,7,12,6,35,""Female"",65,""B"""
"S043,2,8,7,3,5,""Female"",25,""C"""
"S044,3,11,5,8,12,""Female"",39,""C"""
"S045,5,14,3,3,31,""Male"",56,""C"""
"S046,2,3,9,8,26,""Female"",48,""C"""
"S047,5,9,12,22,9,""Female"",57,""C"""
"S048,4,5,10,16,7,""Male"",42,""C"""
"S049,2,4,14,16,11,""Female"",47,""C"""
"S050,4,2,10,8,11,""Male"",35,""C"""
"S051,3,12,7,12,22,""Male"",56,""C"""
"S052,1,4,6,14,39,""Female"",64,""B"""
"S053,5,14,14,23,24,""Male"",80,""A"""
"S054,1,7,2,23,29,""Male"",62,""B"""
"S055,4,2,2,11,15,""Female"",34,""C"""
"S056,2,2,14,22,7,""Female"",47,""C"""
"S057,2,15,7,10,24,""Female"",58,""C"""
"S058,5,12,5,16,4,""Female"",42,""C"""
"S059,3,9,7,25,19,""Male"",63,""B"""
"S060,4,13,13,5,23,""Male"",58,""C"""
"S061,5,6,4,7,26,""Male"",48,""C"""
"S062,1,7,7,21,20,""Female"",56,""C"""
"S063,5,6,12,3,37,""Female"",63,""B"""
"S064,1,14,9,25,26,""Female"",75,""B"""
"S065,1,8,15,8,29,""Male"",61,""B"""
"S066,4,3,6,23,28,""Male"",64,""B"""
"S067,1,3,6,3,4,""Male"",17,""C"""
"S068,3,10,15,1,32,""Male"",61,""B"""
"S069,5,15,15,12,38,""Female"",85,""A"""
"S070,4,2,13,16,36,""Female"",71,""B"""
"S071,3,15,11,10,24,""Male"",63,""B"""
"S072,1,2,3,3,21,""Female"",30,""C"""
"S073,3,4,10,6,20,""Female"",43,""C"""
"S074,5,8,2,4,1,""Male"",20,""C"""
"S075,2,2,13,8,19,""Female"",44,""C"""
"S076,4,5,14,10,10,""Female"",43,""C"""
"S077,1,11,1,25,4,""Female"",42,""C"""
"S078,4,4,15,15,13,""Male"",51,""C"""
"S079,5,5,4,16,31,""Female"",61,""B"""
"S080,4,11,3,17,18,""Male"",53,""C"""
"S081,2,14,3,15,36,""Male"",70,""B"""
"S082,1,1,3,23,19,""Female"",47,""C"""
"S083,4,2,1,1,2,""Female"",10,""C"""
"S084,1,8,10,23,34,""Female"",76,""B"""
"S085,5,12,10,13,21,""Male"",61,""B"""
"S086,5,3,7,13,15,""Female"",43,""C"""
"S087,1,2,4,25,13,""Female"",45,""C"""
"S088,2,11,10,13,29,""Male"",65,""B"""
"S089,3,9,15,20,22,""Female"",69,""B"""
"S090,2,11,4,7,17,""Female"",41,""C"""
"S091,2,10,13,17,33,""Female"",75,""B"""
"S092,2,3,12,22,27,""Male"",66,""B"""
"S093,1,13,8,1,5,""Female"",28,""C"""
"S094,2,4,12,3,10,""Female"",31,""C"""
"S095,1,5,10,23,20,""Male"",59,""C"""
"S096,2,12,9,13,10,""Female"",46,""C"""
"S097,2,6,9,9,30,""Female"",56,""C"""
"S098,3,11,1,20,15,""Female"",50,""C"""
"S099,4,15,13,20,1,""Male"",53,""C"""
"S100,1,8,13,11,27,""Female"",60,""B"""
"S101,5,2,2,24,27,""Male"",60,""B"""
"S102,1,15,2,24,25,""Male"",67,""B"""
"S103,1,15,6,1,2,""Female"",25,""C"""
"S104,5,12,6,17,20,""Female"",60,""B"""
"S105,2,7,14,20,6,""Male"",49,""C"""
"S106,3,4,12,12,40,""Male"",71,""B"""
"S107,2,5,8,7,37,""Female"",59,""C"""
"S108,4,7,15,1,4,""Female"",31,""C"""
"S109,1,10,13,14,38,""Female"",76,""B"""
"S110,5,9,5,2,4,""Male"",25,""C"""
"S111,4,3,10,7,12,""Female"",36,""C"""
"S112,1,14,8,20,10,""Male"",53,""C"""
"S113,3,8,7,19,17,""Female"",54,""C"""
"S114,5,12,15,8,37,""Female"",77,""B"""
"S115,1,7,9,10,11,""Male"",38,""C"""
"S116,2,10,15,12,9,""Female"",48,""C"""
"S117,4,11,14,8,35,""Female"",72,""B"""
"S118,2,4,7,22,27,""Male"",62,""B"""
"S119,3,15,11,8,24,""Male"",61,""B"""
"S120,4,13,15,21,31,""Female"",84,""A"""
"S121,5,7,8,2,37,""Female"",59,""C"""
"S122,1,6,13,18,29,""Female"",67,""B"""
"S123,4,12,11,14,9,""Female"",50,""C"""
"S124,5,8,6,16,4,""Male"",39,""C"""
"S125,3,11,5,7,40,""Male"",66,""B"""
"S126,2,5,12,20,23,""Female"",62,""B"""
"S127,1,14,9,22,33,""Female"",79,""B"""
"S128,3,13,12,15,6,""Male"",49,""C"""
"S129,5,3,4,10,21,""Male"",43,""C"""
"S130,4,7,10,13,25,""Female"",59,""C"""
"S131,2,11,15,21,36,""Male"",85,""A"""
"S132,4,9,11,19,22,""Female"",65,""B"""
"S133,3,14,10,12,27,""Female"",66,""B"""
"S134,1,2,7,8,9,""Male"",27,""C"""
"S135,5,15,15,21,20,""Male"",76,""B"""
"S136,2,6,8,9,35,""Female"",60,""B"""
"S137,4,7,9,13,10,""Male"",43,""C"""
"S138,3,4,6,18,32,""Female"",63,""B"""
"S139,1,9,7,14,4,""Male"",35,""C"""
"S140,5,8,10,19,36,""Female"",78,""B"""
"S141,4,14,13,7,9,""Male"",47,""C"""
"S142,1,5,9,17,23,""Female"",54,""C"""
"S143,2,13,10,20,19,""Male"",64,""B"""
"S144,3,15,12,11,29,""Female"",70,""B"""
"S145,4,10,5,23,38,""Female"",80,""A"""
"S146,5,8,11,14,30,""Male"",68,""B"""
"S147,1,6,13,16,33,""Female"",69,""B"""
"S148,2,12,9,19,37,""Female"",79,""B"""
"S149,3,11,14,10,40,""Male"",78,""B"""
"S150,4,3,15,8,5,""Female"",35,""C"""
